অগ্র,পশ্চাৎ
আরামপ্রদ,কষ্টদায়ক

আলিঙ্গন,প্রত্যাখ্যান

আলোড়ন,স্তব্ধতা

আশাবাদি,নিরাশাবাদী

আশু,বিলম্বিত

আসন্ন,দূরবর্তী

আসক্তি,বিরাগ

আস্কালান,বিনয়

আস্তাবল,লোকালয়

আস্তিক্য,নাস্তিক্য

আস্বাদন,অরুচি

আহ্লাদ,বিষাদ

আহ্বান,প্রত্যাখ্যান

ইঙ্গিতময়,স্পষ্ট

ইতস্তত,দৃঢ়

ইতিকথা,ভূমিকা

ইষ্ট,অনিষ্ট

ইন্দ্রজাল,বাস্তব

ইষৎ,প্রবল

ঈদৃশ,তাদৃশ

ঈক্ষণ,অবেক্ষণ

ঈপ্সিত,অনাস্পদ

ঈপ্সা,বিরতি

ঈশান,নৈঋত

উগ্র,সৌম্য

উচাটন,প্রশান্ত

উচ্ছৃঙ্খল,শৃঙ্খলিত

উচ্ছ্বসিত,ম্লান

উচ্ছেদ,প্রতিষ্ঠা

উজান,ভাটি

উজাড়,ভরাট

উঠতি,পড়তি

উত্তরণ,অবতরণ

উত্কণ্ঠা,নির্লিপ্ততা

উত্কৃষ্ট,নিকৃষ্ট

উত্তেজিত,শমিত

উত্তেজক,শমক

উত্তাল,স্তরঙ্গ

উত্থান,পতন

উত্থাপিত,গৃহীত

উৎকর্ষ,অপকর্ষ

উৎপাদন,ধ্বংস

উৎসর্গ,গ্রহণ

উৎসব,শোক

উদম,আলস্য

উদার,সংকীর্ণ

উদাসীন,উত্সুক

উদ্ধত,বিনীত

উদ্ধারকারী,ঘাতক

উদ্বেগ,নিশ্চিন্ততা

উদ্বিগ্ন,নিশ্চিন্ত

উদ্যত,নিবৃত্ত

উদ্বৃত্ত,ঘাটতি

উন্মত্ত,প্রশান্ত

উন্মীলন,নিমীলন

উন্মেষ,বিনাশ

উপকণ্ঠ,কেন্দ্রস্থল

উপজাত,মূলজাত

উপচয়,অপচয়

উপসংহার,উপক্রমণিকা

উপদিষ্ট,অনুপদিষ্ট

উপদেশক,আজ্ঞাবহ

উপরি,অধঃ

উপহাস,শ্রদ্ধা

উপাখ্যান,মূলগ্রন্থ

উপাচার্য,আচার্য

উপার্জনকারী,নির্ভরশীল

উপেক্ষিত,আদৃত

উর্বর,ঊষর

উল্লম্ব,অনুভূমিক

উষ্ণ,শীতল

উষ্ণীষ,পাদুকা

ঊর্ধ্বগামী,অধোগামী

ঊহ্য,ব্যক্ত

ঋজু,বক্র

ঋদ্ধ,বিপত্তি

ঋদ্ধিমান,বিপন্ন

একনিষ্ঠ,বহুনিষ্ঠ

একত্র,পৃথক

একদেশদর্শী,নিরপেক্ষ

একাকী,সদলে

একলব্য,সতীর্থ

ঐক্য,অনৈক্য

ঐক্যবদ্ধ,বিচ্ছিন্ন

ঐতিহাসিক,অনৈতিহাসিক

ঐচ্ছিক,বাধ্যতামূলক

ঐশ্বর্য,দারিদ্র্য

ঐশ্বর্যশালী,নিঃস্ব

ঐহিক,পারত্রিক

ওজস্বী,নিস্তেজ

ঔচিত্য,অনৌচিত্য

ঔদার্য,কার্পণ্য

ঔদাস্য,উৎসাহ

ঔদ্ধত্য,বিনয়

ককশা,মধুরভাষী

কঠিন,কোমল

কনিষ্ঠ,জ্যেষ্ঠ

কবন্ধ,সশরীরী

কপট,অকপট

কবুল,অস্বীকার

কম্পমান,স্থির

করতলগত,মুক্ত

কর্কশ,সুমিষ্ট

কর্তৃত্ব,দাসত্ব

কর্তা,গিন্নি

কর্মঠ,অকর্মণ্য

কলুষিত,পবিত্র

কল্পিত,বাস্তব

কায়ক,মানসিক

কারুণ্য,নিষ্ঠুরতা

কালজয়ী,ক্ষণস্থায়ী

কালিমা,জ্যোতি

কাষ্ঠহাসি,মনখোলা

কিঞ্চিৎ,প্রচুর

কীটদষ্ট,অক্ষত

কীর্তি,অপকীর্তি

কুঞ্চিত,প্রসারিত

কুটিল,সরল

কুখ্যাত,বিখ্যাত

কুণ্ঠিত,অকুণ্ঠিত

কুতর্ক,সুযুক্তি

কুৎসা,প্রশংসা

কুপিত,শান্ত

কৃপণ,বদান্য

কৃত্রিমতা,সরলতা

কৃষ্ণ,শুক্ল

কৃশাঙ্গ,স্থূলাঙ্গ

কৃশ,স্থূল

কেজো,অকেজো

কৈশোর,বার্ধক্য

কোমলতা,কঠোরতা

কোমল,কঠিন

ক্রমাগত,বিচ্ছিন্ন

ক্লান্তিহীন,শ্রান্ত

ক্ষণজন্মা,সাধারণ

ক্ষণস্থায়ী,দীর্ঘস্থায়ী

ক্ষত,অক্ষত

ক্ষতিপূরণ,জরিমানা

ক্ষয়,বৃদ্ধি

ক্ষিপ্রগতি,মন্থর

ক্ষিপ্র,মন্থর

ক্ষীণকায়,স্থূলকায়

ক্ষীণ,পুষ্ট

ক্ষুব্ধ,সন্তুষ্ট

ক্ষুণ্ন,অক্ষুণ্ন

ক্ষুদ্র,বৃহৎ

ক্ষুরধার,ভোঁতা

খেচর,ভূচর

খোলামেলা,সংকীর্ণ

খ্যাতিমান,অখ্যাত

খ্যাতি,অখ্যাতি

গগনবিদারী,মৃদু

গগন,ধরা

গচ্ছিত,ব্যয়িত

গতানুগতিক,ব্যতিক্রমী

গতিশীল,স্থবির

গভীরতা,অগভীরতা

গমন,আগমন

গরল,অমৃত

গরিমা,লঘিমা

গরিয়সী,লঘীয়সী

গরিব,ধনী

গর্ব,বিনয়

গর্হিত,প্রশংসনীয়

গহিন,পল্লব

গাঢ়,তরল

গুণগ্রাহী,অসূয়ক

গুচ্ছ,বিচ্ছিন্ন

গূঢ়,ব্যক্ত

গৃহস্থ,সন্ন্যাসী

গৃহীত,বর্জিত

গোধূলি,উষা

গোপনীয়তা,স্বচ্ছতা

গোপন,প্রকাশ

গোলাপী,ধূসর

গৌণ,মুখ্য

ঘৃণা,শ্রদ্ধা

চঞ্চল,স্থির

চতুর,বোকা

চর,অচর

চরম,নরম

চলমান,স্থির

চাক্ষুষ,পরোক্ষ

চিত্ত,অচিত্ত

চিন্তা,নিশ্চিন্ততা

চিন্ময়,মৃন্ময়

চোর,সাধু

চৌকস,আনাড়ি

ছায়াময়,আলোকিত

ছোট,বড়

ছাত্র,শিক্ষক

জঙ্গম,স্থাবর

জটিল,সরল

জড়,চেতন

জন্ম,মৃত্যু

জয়,পরাজয়

জরুরি,নগণ্য

জল,স্থল

জাগ্রত,নিদ্রিত

জাতি,বিজাতি

জ্যান্ত,মরা

জীবিত,মৃত

জুয়াড়ি,সৎ

জোয়ার,ভাটা

জ্ঞান,অজ্ঞান

জ্যেষ্ঠ,কনিষ্ঠ

জ্যোতি,তিমির

জ্বলা,নেভা

ঝগড়া,মিলন

ঝাঁঝালো,মিষ্টি

টান,ঢিল

টেকসই,ভঙ্গুর

ঠিক,ভুল

ঠাণ্ডা,গরম

ডান,বাম

ডাগর,ক্ষুদ্র

তকদির,তদবির

তটস্থ,নির্বিকার

তত,যত

তনু,স্থূল

তপ্ত,শীতল

তমসা,আলোক

তরল,ঘন

তরুণ,বৃদ্ধ

তর্ক,মীমাংসা

তল,উপর

তাজা,বাসি

তামসিক,সাত্ত্বিক

তারল্য,কাঠিন্য

তারুণ্য,বার্ধক্য

তিক্ত,মধুর

তিমির,আলোক

তীব্র,মৃদু

তিরস্কার,পুরস্কার

তুষ্ট,রুষ্ট

তৃপ্তি,অতৃপ্তি

তেজ,নিস্তেজ

ত্যাজ্য,গ্রাহ্য

ত্যাগ,ভোগ

ত্রাস,সাহস

থামা,চলা

থোকা,খুচরা

দক্ষ,অদক্ষ

দক্ষিণ,উত্তর

দণ্ড,পুরস্কার

দমন,প্রশ্রয়

দয়া,নিষ্ঠুরতা

দরদি,বেপরোয়া

দরিদ্র,ধনী

দর্প,বিনয়

দানব,মানব

দাস,প্রভু

দিন,রাত

দিবা,রাত্রি

দীর্ঘ,হ্রস্ব

দীপ্ত,ম্লান

দুঃখ,সুখ

দুর্মূল্য,সুলভ

দুর্লভ,সুলভ

দুষ্ট,শিষ্ট

দূর,নিকট

দৃঢ়,শিথিল

দৃশ্য,অদৃশ্য

দেয়,নেয়

দেনদার,পাওনাদার

দেশি,বিদেশি

দেহ,মন

দোষ,গুণ

দ্রুত,মন্থর

দ্বন্দ,মিলন

দ্বেষ,প্রীতি

ধনী,দরিদ্র

ধর্ম,অধর্ম

ধবল,কৃষ্ণ

ধরা,ছাড়া

ধার্মিক,পাপী

ধীর,চঞ্চল

ধীরে,দ্রুত

ধুর্ত,সরল

ধূর্তামি,সাধুতা

ধ্বংস,সৃষ্টি

ধৈর্য,অধৈর্য

নকদ,বাকি

নকল,আসল

নত,উন্নত

নতুন,পুরাতন

নম্র,উদ্ধত

নরক,স্বর্গ

নশ্বর,অবিনশ্বর

নাস্তিক,আস্তিক

নিদ্রা,জাগরণ

নিন্দা,প্রশংসা

নিপুণ,অনিপুণ

নিরক্ষর,সাক্ষর

নিরপেক্ষ,সাপেক্ষ

নিরামিষ,আমিষ

নিরাশা,আশা

নির্ভীক,ভীতু

নির্মল,মলিন

নিশ্চল,সচল

নিষ্ঠুর,দয়ালু

পটু,অপটু

পতন,উত্থান

পদ্য,গদ্য

পর,আপন

পরাধীন,স্বাধীন

পরার্থ,স্বার্থ

পরিচ্ছন্ন,নোংরা

পরিশ্রমী,অলস

পরোক্ষ,প্রত্যক্ষ

পল্লি,শহর

পশ্চাৎ,সম্মুখ

পাকা,কাঁচা

পাঠক,লেখক

পাতলা,ঘন

পাপ,পুণ্য

পার্থিব,অপার্থিব

পিছনে,সামনে

পিতা,মাতা

পুং,স্ত্রী

পুত্র,কন্যা

পুরস্কার,তিরস্কার

পুরাতন,নতুন

পূর্ণ,শূন্য

পূর্ব,পশ্চিম

পেশাদার,অপেশাদার

প্রকাশ্য,গোপন

প্রকৃত,বিকৃত

প্রচুর,অল্প

প্রজা,রাজা

প্রতিকূল,অনুকূল

প্রতক্ষ্য,পরোক্ষ

প্রথা,অপ্রথা

প্রধান,গৌণ

প্রফুল্ল,বিষণ্ণ

প্রবল,দুর্বল

প্রবেশ,প্রস্থান

প্রবাস,স্বদেশ

প্রভু,ভৃত্য

প্রলয়,সৃষ্টি

প্রশংসা,নিন্দা

প্রশান্তি,অশান্তি

প্রশ্ন,উত্তর

প্রসারিত,সংকুচিত

প্রস্থান,প্রবেশ

প্রাচীন,অর্বাচীন

প্রান্ত,কেন্দ্র

প্রিয়,অপ্রিয়

প্রীতি,ঘৃণা

প্রেম,ঘৃণা

ফর্সা,কালো

ফলপ্রসূ,নিষ্ফল

ফাঁকা,ভরাট

ফায়দা,লোকসান

ফেলা,তোলা

বক্র,সরল

বজ্র,কুসুম

বড়,ছোট

বদ্ধ,মুক্ত

বন্ধু,শত্রু

বন,লোকালয়

বন্য,পোষা

বর,কনে

বর্জন,গ্রহণ

বর্তমান,অতীত

বর্ধন,হ্রাস

বর্ষা,খরা

বলিষ্ঠ,দুর্বল

বসন্ত,শীত

বহির্মুখী,অন্তর্মুখী

বহু,এক

বাচাল,মিতাভাষী

বাধ্য,অবাধ্য

বাদ,প্রতিবাদ

বাদী,বিবাদী

বাম,ডান

বার্ধক্য,যৌবন

বাসি,তাজা

বাস্তব,অঅবাস্তব

বাহির,ভিতর

বাহ্যিক,অভ্যন্তরীণ

বিকৃত,প্রকৃত

বিক্রয়,ক্রয়

বিখ্যাত,অখ্যাত

বিঘ্ন,নির্বিঘ্ন

বিজয়,পরাজয়

বিজ্ঞ,অজ্ঞ

বিদ্বান,মূর্খ

বিদ্বেষ,প্রীতি

বিধবা,সধবা

বিনয়,উদ্ধত্য

বিনাশ,সৃষ্টি

বিপদ,সম্পদ

বিপরীত,অনুকূল

বিফল,সফল

বিবাদ,মিত্রতা

বিবেচক,অবিবেচক

বিমুক্তি,বন্ধন

বিমুখ,উন্মুখ

বিয়োগ,যোগ

বিরাগ,অনুরাগ

বিরাম,অবিরাম

বিলম্ব,ত্বরা

বিলাস,সংযম

বিশিষ্ট,সাধারণ

বিশুদ্ধ,দূষিত

বিশেষ,সামান্য

বিশ্বাস,অবিশ্বাস

বিষ,অমৃত

বিষাদ,হর্ষ

বিসর্জন,আবাহন

বিস্তৃত,সংক্ষিপ্ত

বিস্মরণ,স্মরণ

বিহিত,অবিহিত

বীর,কাপুরুষ

বুঝ,অবুঝ

বুদ্ধিমান,নির্বোধ

বৃহৎ,ক্ষুদ্র

বেওয়ারিশ,ওয়ারিশ

বেচাকেনা,লাভ

বেঁটে,লম্বা

ব্যক্তি,সমষ্টি

ব্যক্ত,গোপন

ব্যর্থ,সার্থক

ব্যয়,আয়

ব্যস্ত,অবসর

ব্যষ্টি,সমষ্টি

ব্যাপক,সংকীর্ণ

ব্যাস,সমাস

ভক্তি,ঘৃণা

ভগ্ন,অটুট

ভঙ্গুর,শাশ্বত

ভদ্র,ইতর

ভবিষ্যৎ,অতীত

ভয়,সাহস

ভরা,খালি

ভর্ৎসনা,প্রশংসা

ভস্ম,স্বর্ণ

ভাই,বোন

ভাগ,গুণ

ভাগ্য,দুর্ভাগ্য

ভাজক,ভাজ্য

ভাঙা,গড়া

ভাটা,জোয়ার

ভাড়া,নিজস্ব

ভালো,মন্দ

ভাব,আড়ি

ভারী,হালকা

ভাসা,ডোবা

ভিতর,বাহির

ভিন্ন,অভিন্ন

ভীত,সাহসী

ভীরু,সাহসী

ভীষণ,মধুর

ভুক্ত,অভুক্ত

ভুল,শুদ্ধ

ভূত,ভবিষ্যৎ

ভূমি,আকাশ

ভূষণ,দূষণ

ভৃত্য,প্রভু

ভেদ,অভেদ

ভোগ,ত্যাগ

ভোজ্য,অভোজ্য

ভোট,নিলাম

ভ্রান্ত,নিভ্রান্ত

ভ্রাতা,ভগিনী

মঞ্জুর,নামঞ্জুর

মজিদ,মন্দির

মজবুত,ঠুনকো

মৎসর,উদার

মত,পথ

মদ,ভালো

মধুর,তিক্ত

মধ্য,প্রান্ত

মনন,বিস্মরণ

মনোযোগ,অমনোযোগ

মন্দ,ভালো

মমতা,নিষ্ঠুরতা

ময়লা,পরিষ্কার

মরা,বাঁচা

মর্ত্য,স্ব স্বর্গ

মলিন,নির্মল

মসৃণ,বন্ধুর

মহৎ,নীচ

মহাত্মা,নীচাত্মা

মহাজন,খাতক

মহা,ক্ষুদ্র

মাংস,হাড়

মাংসাশী,নিরামিষাশী

মা,বাবা

মাকড়সা,মাছি

মাঝারি,ছোট

মান,অপমান

মানব,দানব

মান্য,অমান্য

মায়াস্পর্শ,নিষ্ঠুরতা

মালিক,শ্রমিক

মিটিমিটি,উজ্জ্বল

মিতব্যয়ী,অমিতব্যয়ী

মিতা,শত্রু

মিথ্যা,সত্য

মিথ্যাবাদী,সত্যবাদী

মিল,অমিল

মিলন,বিরহ

মিশ্র,বিশুদ্ধ

মিষ্টি,টক

মীমাংসা,বিরোধ

মুক্ত,বদ্ধ

মুক্তি,বন্ধন

মুখ,পিঠ

মুখ্য,গৌণ

মুগ্ধ,বিরক্ত

মুর্দা,জিন্দা

মূর্খ,জ্ঞানী

মূর্ত,বিমূর্ত

মূল,শাখা

মূল্যবান,মূল্যহীন

মৃণাল,পঙ্ক

মৃত,জীবিত

মৃত্যু,জন্ম

মৃদু,প্রবল

মেকি,আসল

মেধাবী,নির্বোধ

মেয়ে,ছেলে

মেরু,মরু

মেল,গরমিল

মেশা,আলাদা

মোটা,রোগা

মোট,খুচরা

মৌন,মুখর

মৌলিক,যৌগিক

ম্লান,উজ্জ্বল

যজমান,পুরোহিত

যত,তত

যত্ন,অযত্ন

যথার্থ,অযথার্থ

যথেষ্ট,অপ্রতুল

যশ,অপযশ

যাওয়া,আসা

যাচক,দাতা

যাজক,শ্রোতা

যুক্ত,বিযুক্ত

যুদ্ধ,শান্তি

যুবক,বৃদ্ধ

যোগ,বিয়োগ

যোগ্য,অযোগ্য

যৌগিক,মৌলিক

যৌবন,বার্ধক্য

রক্ত,শ্বেত

রঙিন,সাদা

রচন,পাঠ

রজত,স্বর্ণ

রণ,শান্তি

রত,বিরত

রদ,বজায়

রসিক,বেরসিক

রহস্য,স্পষ্ট

রাগী,শান্ত

রাজা,প্রজা

রাজি,নারাজ

রাত্রি,দিবা

রাম,রাবণ

রাষ্ট্র,ব্যক্তি

রুক্ষ,স্নিগ্ধ

রুগ্ন,সুস্থ

রুচি,অরুচি

রুদ্ধ,মুক্ত

রূপ,অরূপ

রেয়াত,কড়াকড়ি

রোগ,স্বাস্থ্য

রোগা,মোটা

রোদ,বৃষ্টি

রোষ,তোষ

লম্বা,বেঁটে

লয়,সৃষ্টি

লঘু,গুরু

লজ্জা,নির্লজ্জতা

লড়ন,থামা

লব,হর

লাভ,ক্ষতি

লিখিত,মৌখিক

লিপ্ত,নির্লিপ্ত

লীন,প্রকাশিত

লুণ্ঠন,রক্ষা

লুপ্ত,ব্যক্ত

লেখা,পড়া

লোভ,সন্তোষ

লোভী,নির্লোভ

লৌকিক,অলৌকিক

লৌহ,স্বর্ণ

শক্ত,নরম

শত্রু,মিত্র

শব্দ,নিঃশব্দ

শয়ন,জাগরণ

শয়তান,দেবতা

শরিফ,রজিল

শহুরে,গেঁয়ো

শহর,গ্রাম

শান্ত,উগ্র

শান্তি,অশান্তি

শাপ,বর

শারীরিক,মানসিক

শাশ্বত,নশ্বর

শাসক,শাসিত

শাস্তি,পুরস্কার

শাস্ত্র,লোক

শিক্ষক,ছাত্র

শিক্ষিত,অশিক্ষিত

শিথিল,দৃঢ়

শির,পদ

শিশির,আতপ

শিশু,বৃদ্ধ

শিষ্য,গুরু

শীত,গ্রীষ্ম

শীতল,উষ্ণ

শীঘ্র,বিলম্বে

শীর্ণ,স্থূল

শুদ্ধ,অশুদ্ধ

শুভ,অশুভ

শুষ্ক,আর্দ্র

শূন্য,পূর্ণ

শূর,ভীতু

শৃঙ্খল,অশৃঙ্খল

শেষ,শুরু

শোক,হর্ষ

শোধন,দূষণ

শোভন,অশোভন

শোষক,শোষিত

শৌখিন,পেশাদার

শ্রম,বিশ্রাম

শ্রমিক,মালিক

শ্রদ্ধা,ঘৃণা

শ্রব্য,অশ্রব্য

শ্রান্ত,অশ্রান্ত

শ্রী,অশ্রী

শ্রোতা,বক্তা

শ্লাঘা,নিন্দা

শ্লথ,দ্রুত

শ্বশুর,শাশুড়ি

শ্বাস,প্রশ্বাস

শ্বেত,কৃষ্ণ

ষণ্ড,গাভী

ষাঁড়,গাই

সংকীর্ণ,প্রশস্ত

সংকুচিত,প্রসারিত

সংক্ষেপ,বিস্তার

সংগত,অসংগত

সংগ্রাম,শান্তি

সংঘ,ব্যক্তি

সংযত,অসংযত

সংযোগ,বিয়োগ

সংরক্ষণ,বিনাশ

সংশয়,প্রত্যয়

সংশ্লেষ,বিশ্লেষণ

সংসার,সন্ন্যাস

সংস্কার,কুসংস্কার

সংহতি,বিভক্তি

সকাম,নিষ্কাম

সাকার,নিরাকার

সক্রিয়,নিষ্ক্রিয়

সক্ষম,অক্ষম

সখ,সাধ

সখা,শত্রু

সগর্ব,বিনীত

সগুণ,নির্গুণ

সচল,অচল

সচেতন,অচেতন

সচেষ্ট,নিশ্চেষ্ট

সচ্ছল,অসচ্ছল

সজাগ,ঘুমন্ত

সজীব,নির্জীব

সঞ্চয়,অপচয়

সততা,অসততা

সতী,অসতী

সতর্ক,অসতর্ক

সত্য,মিথ্যা

সদয়,নির্দয়

সদস্য,অনাত্মীয়

সদাচার,কদাচার

সদ্য,বাসি

সধবা,বিধবা

সনাতন,নূতন

সন্তান,নিঃসন্তান

সন্তোষ,অসন্তোষ

সন্দেহ,বিশ্বাস

সন্ধি,বিগ্রহ

সন্ধ্যা,প্রাতঃ

সন্ন্যাসী,গৃহী

সপক্ষ,বিপক্ষ

সফল,বিফল

সবল,দুর্বল

সবার,একলা

সম,বিষম

সমক্ষ,পরোক্ষ

সমগত,বিগত

সমতল,বন্ধুর

সমতা,বিষমতা

সময়,অসময়

সমর্থ,অসমর্থ

সমর্থন,বিরোধিতা

সমষ্টি,ব্যষ্টি

সমাস,ব্যাস

সমাপ্ত,অঅসমাপ্ত

সমীচীন,অসমীচীন

সমীপ,দূর

সমুচিত,অনুচিত

সম্ভাবনা,নিশ্চয়তা

সম্মান,অপমান

সম্মুখ,পশ্চাৎ

সরল,কূটিল

সরস,নীরস

সরু,মোটা

সর্দার,অনুচর

সর্বদা,কদাচিৎ

সসীম,অসীম

সহজ,কঠিন

সহযোগ,অঅসহযোগ

সহ্য,অসহ্য

সাকার,নিরাকার

সাক্ষর,নিরক্ষর

সাক্ষী,বাদী

সাগরেদ,ওস্তাদ

সাড়া,শব্দ

সাদৃশ্য,বৈসাদৃশ্য

সাধ,সাধ্য

সাধক,বাধক

সাধারণ,অসাধারণ

সাধু,অসাধু

সাধ্য,অসাধ্য

সান্ত্বনা,ভর্ৎসনা

সাপেক্ষ,নিরপেক্ষ

সাবালক,নাবালক

সামনে,পিছনে

সাম্য,বৈষম্য

সামান্য,অসামান্য

সাময়িক,স্থায়ী

সার,অসার

সার্থক,নিরর্থক

সার্বজনীন,ব্যক্তিগত

সাহস,ভয়

সাহসী,ভীরু

সিত,অসিত

সিদ্ধ,অসিদ্ধ

সিন্ধু,বিন্দু

সুগম,দুর্গম

সুজন,কুজন

সুদিন,দুর্দিন

সুদ,আসল

সুন্দর,কুৎসিত

সুনাম,দুর্নাম

সুপথ,কুপথ

সুপুত্র,কুপুত্র

সুবোধ,দুর্বোধ

সুর,অসুর

সুলভ,দুর্লভ

সুশ্রী,কুশ্রী

সুস্থ,অসুস্থ

সূক্ষ্ম,স্থূল

সূচনা,সমাপ্তি

সূর্য,চন্দ্র

সৃষ্টি,ধ্বংস

সেকাল,একাল

সেবক,প্রভু

সেবা,অপকার

সোনা,রূপা

সৌভাগ্য,দুর্ভাগ্য

সৌম্য,উগ্র

সৌন্দর্য,কুৎসিত

স্কুল,কলেজ

স্তুতি,নিন্দা

স্থূল,সূক্ষ্ম

স্থায়ী,অঅস্থায়ী

স্থাবর,অস্থাবর

স্থির,চঞ্চল

স্পষ্ট,অস্পষ্ট

স্পর্শ,অস্পর্শ

স্ফীত,কুঞ্চিত

স্মরণ,বিস্মরণ

স্মৃতি,বিস্মৃতি

স্বকীয়,পরকীয়

স্বগত,প্রকাশ্য

স্বতন্ত্র,পরতন্ত্র

স্বদেশ,বিদেশ

স্বপ্ন,বাস্তব

স্বভাব,কৃত্রিম

স্বর্গ,নরক

স্বল্প,অধিক

স্বস্তি,অস্বস্তি

স্বাক্ষর,নিরক্ষর

স্বাগত,বিদায়

স্বাধীন,পরাধীন

স্বাভাবিক,অস্বাভাবিক

স্বামী,স্ত্রী

স্বার্থ,পরার্থ

স্বাস্থ্য,অস্বাস্থ্য

স্বীকার,অস্বীকার

স্মৃতি,বিস্মৃতি

হর্ষ,বিষাদ

হাঁ,না

হাজির,গড়হাজির

হাট,বাজার

হাড়,মাংস

হাত,পা

হানি,লাভ

হার,জিত

হাসি,কান্না

হিংসা,অহিংসা

হিত,অহিত

হিসাব,বেহিসাব

হীন,মহৎ

হৃদ্য,বিদ্বেষ

হ্রাস,বৃদ্ধি

হ্রস্ব,দীর্ঘ

ক্ষতি,লাভ

ক্ষণস্থায়ী,দীর্ঘস্থায়ী

ক্ষয়,বৃদ্ধি

ক্ষুদ্র,বৃহৎ
